Local_CORNERS_AF_AVG,Local_CORNERS_EC_AVG,Visitante_CORNERS_AF_AVG,Visitante_CORNERS_EC_AVG,Local_ST_AF_AVG,Local_ST_EC_AVG,Visitante_ST_AF_AVG,Visitante_ST_EC_AVG,FACTOR_LOCAL,CORNERS_TOTAL_PARTIDO
4.5,4.5,4.5,4.5,13.214285714285715,11.785714285714285,11.785714285714285,13.214285714285715,1,17
5.1,5.6,5.6,5.1,9.785714285714285,14.5,14.5,9.785714285714285,1,13
5.7,5.4,5.4,5.7,11.928571428571427,15.214285714285714,15.214285714285714,11.928571428571427,1,11
6.0,4.9,4.9,6.0,13.357142857142858,13.0,13.0,13.357142857142858,1,13
2.4,7.5,7.5,2.4,9.571428571428573,18.142857142857142,18.142857142857142,9.571428571428573,1,16
7.6,4.1,4.1,7.6,16.428571428571427,13.785714285714285,13.785714285714285,16.428571428571427,1,11
6.2,5.6,5.6,6.2,15.285714285714285,11.142857142857142,11.142857142857142,15.285714285714285,1,19
6.1,4.300000000000001,4.300000000000001,6.1,14.5,11.5,11.5,14.5,1,7
4.4,6.5,6.5,4.4,12.928571428571427,12.928571428571429,12.928571428571429,12.928571428571427,1,12
3.2,8.0,8.0,3.2,11.5625,16.1875,16.1875,11.5625,1,13
6.699999999999999,4.0,4.0,6.699999999999999,13.875,11.1875,11.1875,13.875,1,16
5.800000000000001,6.4,6.4,5.800000000000001,10.0625,16.5625,16.5625,10.0625,1,10
4.3,7.8,7.8,4.3,12.4375,13.25,13.25,12.4375,1,15
6.9,5.699999999999999,5.699999999999999,6.9,15.4375,12.4375,12.4375,15.4375,1,13
3.9,6.2,6.2,3.9,12.5625,13.6875,13.6875,12.5625,1,6
7.1,4.5,4.5,7.1,14.8125,12.0,12.0,14.8125,1,4
6.0,4.8,4.8,6.0,14.5625,13.5625,13.5625,14.5625,1,11
6.5,5.6,5.6,6.5,16.0625,11.25,11.25,16.0625,1,16
6.4,3.8,3.8,6.4,13.0625,14.3125,14.3125,13.0625,1,11
4.6,9.1,9.1,4.6,12.333333333333332,14.444444444444443,14.444444444444443,12.333333333333332,1,9
5.199999999999999,7.2,7.2,5.199999999999999,14.555555555555557,14.777777777777779,14.777777777777779,14.555555555555557,1,17
3.6,7.9,7.9,3.6,10.61111111111111,16.055555555555557,16.055555555555557,10.61111111111111,1,9
5.3,5.2,5.2,5.3,14.5,10.5,10.5,14.5,1,17
9.1,3.2,3.2,9.1,17.666666666666668,9.88888888888889,9.88888888888889,17.666666666666668,1,13
6.5,4.199999999999999,4.199999999999999,6.5,13.444444444444445,14.722222222222221,14.722222222222221,13.444444444444445,1,10
5.3,6.4,6.4,5.3,9.61111111111111,16.666666666666664,16.666666666666664,9.61111111111111,1,10
7.0,3.7,3.7,7.0,14.166666666666668,12.333333333333332,12.333333333333332,14.166666666666668,1,12
7.2,5.7,5.7,7.2,14.88888888888889,10.0,10.0,14.88888888888889,1,10
5.0,6.199999999999999,6.199999999999999,5.0,13.055555555555557,15.444444444444445,15.444444444444445,13.055555555555557,1,14
6.0,6.2,6.2,6.0,13.1,16.0,16.0,13.1,1,10
5.800000000000001,6.2,6.2,5.800000000000001,15.0,12.55,12.55,15.0,1,9
3.4,9.7,9.7,3.4,10.55,16.9,16.9,10.55,1,10
8.0,5.3,5.3,8.0,17.3,9.8,9.8,17.3,1,4
